Time,FAM,HEX,Cy5,
1661284471738,234.528,345.459,21.8964
1661284509281,230.942,344.467,21.7438
1661284546938,234.604,347.214,21.9727
1661284586516,234.07,348.74,21.8201
1661284625227,231.171,347.824,21.3623
1661284663092,236.511,350.189,22.1252
1661284702716,236.053,349.274,21.9727
1661284740569,239.792,349.96,22.049
1661284776912,234.985,350.342,22.049
1661284814791,239.105,351.334,22.2778
1661284852768,232.925,350.418,21.9727
1661284891065,238.8,351.486,21.5912
1661284928898,236.511,351.334,21.5149
1661284967371,236.893,351.639,22.049
1661285005827,239.487,351.944,22.1252
1661285043372,232.849,349.426,22.049
1661285080933,232.01,351.257,22.2778
1661285118798,237.732,352.86,21.8201
1661285156631,239.487,354.309,20.9045
1661285195616,237.961,355.301,22.049
1661285232441,232.163,352.86,21.7438
1661285273057,237.732,343.628,21.8964
1661285311178,229.111,352.173,22.4304
1661285349043,237.579,354.462,21.6675
1661285386284,239.563,352.631,21.8964
1661285423833,238.419,356.522,22.1252
1661285462029,237.961,356.522,22.049
1661285500486,236.74,355.454,21.8964
1661285539823,239.639,356.14,22.2015
1661285577656,246.048,357.819,21.7438
1661285617024,235.825,355.454,21.8964
1661285653945,238.113,356.216,21.8201
1661285691186,240.25,355.225,22.049
1661285729067,232.163,354.233,21.8964
1661285767492,232.697,354.08,21.5149
1661285808349,238.19,357.971,20.5994
1661285848309,233.307,355.148,20.8282
1661285889053,238.647,354.996,23.0408
1661285930885,238.419,359.268,21.5912
1661285970301,235.825,356.293,21.1334
1661286008726,235.291,357.285,21.286
1661286048111,241.623,359.421,21.1334
1661286087431,232.697,356.522,21.0571
1661286126896,240.097,356.827,21.0571
1661286166411,235.443,357.208,21.1334
1661286208672,230.713,355.988,21.4386
1661286248473,236.74,358.887,21.5912
1661286287378,235.443,358.124,20.2942
1661286326666,237.579,361.557,21.1334
1661286366500,235.748,360.565,21.2097
