Time,FAM,HEX,Cy5,
45133,252.075,296.021,19.7601
86565,255.737,300.903,20.6757
128957,257.645,298.08,20.4468
170117,255.737,298.92,19.8364
212493,250.473,294.724,19.9127
254245,251.617,298.462,20.1416
295709,255.203,301.209,20.1416
338005,252.609,300.903,19.6075
379453,252.991,298.615,19.989
421797,250.626,296.936,21.6675
464797,255.737,300.751,20.8282
507716,253.83,298.691,20.0653
549789,250.855,298.004,19.9127
592260,243.988,297.394,19.6075
634492,253.067,297.699,20.752
675637,253.296,299.149,20.4468
717677,254.746,299.988,20.5994
759205,256.348,301.666,20.4468
799533,258.789,302.2,20.2942
842325,248.261,296.249,19.9127
883485,255.737,301.514,20.3705
926149,258.789,301.361,20.5231
969709,251.923,299.072,20.1416
1012053,255.661,301.971,20.4468
1057100,247.498,296.097,19.989
1099428,248.108,300.522,19.989
1142732,250.015,300.903,20.2942
1187875,250.168,300.98,20.8282
1233402,248.489,299.301,19.7601
1277266,259.323,304.413,19.989
1322058,257.034,302.887,20.9045
1362674,258.942,304.565,20.5231
1406473,260.01,303.04,20.5231
1449730,253.83,300.217,20.2179
1488170,249.176,301.056,19.8364
1526611,259.247,305.634,20.6757
1565355,259.323,303.955,20.4468
1603492,251.694,305.481,20.1416
1639805,257.568,302.124,20.8282
1676215,255.661,302.811,20.2942
1713119,254.974,304.642,20.1416
1749768,252.762,301.895,19.0735
1788497,252.838,300.827,20.3705
1825450,255.661,303.726,20.3705
1863011,255.89,303.421,20.5231
1899036,252.762,301.59,20.1416
1935061,254.974,308.151,19.6075
1972302,248.795,301.895,20.9045
2010759,250.015,301.59,19.455
2050399,249.176,302.124,19.6838
