Time,FAM,HEX,Cy5,
71800,344.62,434.036,25.5585
123438,337.372,432.587,25.9399
171493,337.448,436.63,25.2533
218044,341.492,443.039,25.6348
264595,339.661,442.2,25.177
309099,353.851,451.05,25.1007
353522,345.993,451.584,25.4059
397402,344.315,450.897,25.177
442177,346.298,453.873,25.4059
485161,354.157,458.069,25.4822
527777,355.988,453.491,25.4822
571033,343.094,448.685,25.177
616401,343.094,458.984,24.7192
659625,346.909,452.728,24.6429
703392,340.042,454.407,24.8718
747384,336.99,457.23,24.3378
790672,348.816,462.418,24.8718
834024,347.137,464.63,25.2533
877136,351.41,464.783,24.4904
