30639,40.262,24.5716,3.79597,-1.18255e+09
56074,19.6189,20.0029,4.86402,-1.18255e+09
61673,-36.8067,2.93653,0.988985,-1.18257e+09
76742,-40.8306,8.82292,3.72622,-1.18256e+09
96162,53.3356,8.90428,2.50129,-1.18256e+09
121949,19.1873,19.3442,4.8663,-1.18255e+09
127485,-37.0391,3.05117,1.01194,-1.18257e+09
142522,-40.2056,9.06387,3.89922,-1.18256e+09
161958,51.8602,8.59623,2.37131,-1.18256e+09
187489,19.9415,19.5172,4.90498,-1.18255e+09
193024,-35.6649,2.93062,0.987517,-1.18257e+09
208862,-39.0832,8.86569,3.73411,-1.18256e+09
228585,52.0264,9.2029,2.55265,-1.18256e+09
254916,19.7792,19.7152,4.83709,-1.18255e+09
260803,-34.8187,2.91357,0.9578,-1.18257e+09
275584,-40.2643,8.41056,3.4542,-1.18256e+09
290797,74.7782,5.94005,1.49607,-1.18257e+09
304395,38.5761,10.5699,2.64319,-1.18256e+09
310154,-35.9944,2.90777,0.888348,-1.18257e+09
324551,-40.002,8.23,3.52161,-1.18256e+09
339924,75.2324,6.01034,1.55905,-1.18257e+09
353617,37.4414,10.3538,2.5998,-1.18256e+09
359344,-36.7304,2.97704,0.876062,-1.18257e+09
374061,-40.6821,8.68091,3.73078,-1.18256e+09
389498,74.3793,6.05423,1.53385,-1.18257e+09
404311,37.9798,10.3643,2.57294,-1.18256e+09
410455,-35.6148,3.332,0.871923,-1.18257e+09
424884,-40.2793,8.83715,3.8134,-1.18256e+09
437873,96.9271,4.56372,1.1535,-1.18257e+09
446703,55.5269,6.82023,1.79829,-1.18257e+09
452430,-38.5682,3.1244,0.840272,-1.18257e+09
465996,-40.0227,8.27587,3.54743,-1.18256e+09
478841,97.8184,4.43051,1.16051,-1.18257e+09
488152,54.7444,6.7241,1.74641,-1.18257e+09
494231,-36.6568,3.20424,0.779282,-1.18257e+09
508692,-40.6403,8.28529,3.51926,-1.18256e+09
522001,96.6241,4.71579,1.17554,-1.18257e+09
531727,56.334,6.63582,1.79357,-1.18257e+09
538062,-37.2267,3.50373,0.795668,-1.18257e+09
552523,-40.6342,8.17638,3.38125,-1.18256e+09
565657,97.3298,4.71108,1.19829,-1.18257e+09
576055,55.5827,6.86158,1.8076,-1.18257e+09
582549,-36.9686,3.71602,0.808725,-1.18257e+09
597811,-39.8049,8.60351,3.66685,-1.18256e+09
611184,96.0468,4.84798,1.1867,-1.18257e+09
620622,55.264,6.72958,1.76157,-1.18257e+09
626733,-36.1608,3.28478,0.785139,-1.18257e+09
641354,-40.6383,8.4635,3.62624,-1.18256e+09
653368,112.619,3.95931,0.983876,-1.18257e+09
660886,68.9677,5.1264,1.43322,-1.18257e+09
667285,-35.6303,3.45869,0.731889,-1.18257e+09
681970,-40.2536,8.16145,3.53417,-1.18256e+09
694128,112.151,4.01746,0.976663,-1.18257e+09
701295,67.6988,4.97042,1.38615,-1.18257e+09
707790,-34.9433,3.27517,0.715904,-1.18257e+09
721355,-41.5073,7.69786,3.28885,-1.18256e+09
733257,112.572,3.86308,0.968838,-1.18257e+09
741351,69.1349,5.1697,1.454,-1.18257e+09
747814,-36.6281,3.87105,0.788095,-1.18257e+09
761603,-38.6492,8.455,3.76556,-1.18256e+09
773505,112.76,3.81178,0.999953,-1.18257e+09
781024,68.4117,4.95622,1.38288,-1.18257e+09
787710,-34.9518,3.52347,0.752725,-1.18257e+09
801820,-40.9285,8.05518,3.55766,-1.18256e+09
813913,112.312,3.96682,0.981638,-1.18257e+09
821016,69.2481,5.02032,1.40107,-1.18257e+09
827415,-34.9174,3.33442,0.794387,-1.18257e+09
841204,-40.5029,7.88037,3.57523,-1.18256e+09
853074,112.166,3.90796,0.96892,-1.18257e+09
860912,68.1987,5.16798,1.3953,-1.18257e+09
867631,-35.6497,3.72475,0.853747,-1.18257e+09
