1661354806725,58.3913,31.4099,2.57094,34105
1661354822434,43.7436,13.9048,2.35436,15677
1661354830337,-33.4271,4.66884,0.764231,7871
1661354839967,-56.887,5.04437,1.97096,9598
1661354859995,69.9152,12.3751,1.87327,14525
1661354871097,54.6971,9.33021,1.7299,11070
1661354879576,-32.2943,5.08931,0.722206,8447
1661354889206,-56.6909,4.82653,1.95473,9598
1661354907330,77.8128,10.4983,1.56496,12605
1661354917248,58.0342,7.74822,1.55278,9886
1661354933693,-39.6694,13.6721,5.96555,16412
1661355027276,81.7738,16.4799,1.48458,18429
1661355036298,57.1415,7.10724,1.40567,8990
1661355045576,-40.7113,6.77927,1.55032,9246
1661355055015,-56.2251,4.64884,1.95946,9407
1661355071907,80.7353,9.49772,1.47728,11390
1661355080450,59.6054,6.82289,1.41732,8511
1661355088960,-34.3632,5.59094,0.726977,8478
1661355099198,-52.7963,5.61454,2.16117,10206
1661355116523,10.2987,5.1777,0.803051,11806
1661355123562,58.757,5.11464,1.30497,7007
1661355131944,-35.3347,5.79036,0.750974,8350
1661355142726,-51.0769,5.97418,2.2988,10750
1661355159747,11.5065,4.96708,0.677575,11518
1661355166370,59.5408,4.87279,1.31459,6591
1661355174880,-33.2832,5.70419,0.750259,8478
1661355185694,-50.6855,5.92525,2.30049,10782
1661355201819,12.3681,5.02541,0.837127,10622
1661355208890,60.1223,5.29019,1.26667,7039
1661355217816,-30.9676,5.66168,0.713771,8894
1661355227734,-50.5401,5.59061,2.16702,9886
1661355243267,14.4916,5.10574,0.926107,10046
1661355250178,60.2101,5.28136,1.20829,6879
1661355258688,-32.3601,5.61943,0.741355,8478
1661355269214,-49.5402,6.01287,2.29516,10494
1661355285051,15.2183,5.05113,0.924329,10334
1661355292026,62.0832,4.90815,1.27423,6942
1661355301048,-32.184,6.14651,0.802253,8990
1661355311830,-49.4315,5.88178,2.27079,10750
1661355327651,14.2971,4.94746,0.909546,10334
1661355334306,61.4659,4.83721,1.2826,6623
1661355343232,-30.3969,5.91045,0.74573,8894
1661355353918,-49.8911,6.00768,2.32759,10654
